Nhóm,Kanji,Reading,Nghĩa,Cách dùng,Ví dụ JP,Dịch VI
1,絶叫,ぜっきょう,gào thét cực độ,mạnh hơn 叫ぶ thường đám đông,観客が絶叫した。,Khán giả gào thét.
1,叫ぶ,さけぶ,hét kêu,trung tính cá nhân/công cộng,思わず大声で叫んだ。,Tôi buột miệng hét to.
2,背後,はいご,phía sau; hậu phương,nghĩa đen & bóng,背後から物音がした。,Có tiếng động phía sau.
2,後ろ,うしろ,đằng sau,thuần không gian,後ろを向いて。,Hãy quay lại phía sau.
2,裏,うら,mặt sau; hậu trường,mặt trái/đằng sau nhà,裏口から入る。,Vào từ cửa sau.
3,抱負,ほうふ,hoài bão,ý chí dài hạn,将来の抱負を述べる。,Nói về hoài bão tương lai.
3,目標,もくひょう,mục tiêu,cụ thể đo được,今年の目標を立てる。,Lập mục tiêu năm nay.
3,志,こころざし,chí hướng,sắc thái cao cả,高い志を持つ。,Mang chí hướng cao.
4,侮る,あなどる,coi thường,đánh giá thấp,相手を侮ってはいけない。,Đừng coi thường đối thủ.
4,見下す,みくだす,khinh miệt,thái độ trên cơ,人を見下す態度。,Thái độ khinh người.
4,嘲る,あざける,chế giễu,cười nhạo ác ý,人の失敗を嘲るな。,Đừng chế giễu lỗi người khác.
5,筋道,すじみち,mạch lạc lô-gic,cách trình bày,筋道を立てて説明する。,Giải thích có mạch lạc.
5,道筋,みちすじ,lộ trình,cả nghĩa bóng,解決への道筋を示す。,Chỉ lộ trình giải quyết.
5,論理,ろんり,lô-gic,hệ thống lập luận,論理が通っている。,Lập luận thông suốt.
6,奔放,ほんぽう,phóng túng,không bị ràng buộc,奔放な性格だ。,Tính cách phóng túng.
6,自由自在,じゆうじざい,tự do thành thạo,điều khiển như ý,英語を自由自在に話す。,Nói tiếng Anh như ý.
6,気まま,きまま,tùy hứng,làm theo ý mình,気ままに旅する。,Du lịch tùy hứng.
7,適応,てきおう,thích nghi,người/vật thích ứng,砂漠に適応できる。,Có thể thích nghi sa mạc.
7,適合,てきごう,phù hợp tiêu chuẩn,hợp quy cách,規格に適合している。,Phù hợp quy cách.
7,合致,がっち,trùng khớp,ý kiến/điều kiện,方針が合致した。,Chính sách trùng khớp.
8,掲げる,かかげる,nêu giương,mục tiêu/khẩu hiệu/cờ,目標を掲げる。,Nêu mục tiêu.
8,築く,きずく,xây dựng,quan hệ/cơ sở/vốn,信頼関係を築く。,Xây dựng quan hệ tin cậy.
8,企てる,くわだてる,mưu tính lập kế,sắc thái toan tính,彼は新事業を企てている。,Anh ta toan lập dự án mới.
8,興す,おこす,gây dựng phục hưng,doanh nghiệp/văn hóa,町の産業を興す。,Gây dựng công nghiệp thị trấn.
9,踏襲,とうしゅう,làm theo nguyên xi,đi theo lối cũ,前例を踏襲する。,Làm theo tiền lệ.
9,継承,けいしょう,kế thừa,truyền thống/chức vị,文化を継承する。,Kế thừa văn hóa.
9,相続,そうぞく,thừa kế tài sản,pháp lý/tài sản,遺産を相続する。,Thừa kế di sản.
9,伝承,でんしょう,truyền lại,dân gian/miệng,昔話が伝承される。,Cổ tích được truyền lại.
10,足止め,あしどめ,giữ chân kẹt lại,vì sự cố/giao thông,台風で駅に足止めされた。,Bị kẹt ở ga do bão.
10,棚上げ,たなあげ,gác lại,hoãn xử lý,問題を棚上げにする。,Gác vấn đề lại.
10,待ち伏せ,まちぶせ,phục kích,rình bắt,犯人を待ち伏せする。,Phục kích tội phạm.
10,息抜き,いきぬき,xả hơi,nghỉ ngắn,仕事の合間に息抜きする。,Xả hơi giữa giờ.
11,へとへと,へとへと,kiệt sức,sau vận động dài,走り続けてへとへとだ。,Chạy mãi nên kiệt sức.
11,ぐったり,ぐったり,mệt lả,gần như bất động,熱でぐったりしている。,Lả vì sốt.
11,くたくた,くたくた,rã rời,thể+thần,残業でくたくただ。,Rã rời vì OT.
12,払拭,ふっしょく,xua tan gột bỏ,định kiến/bất an,不安を払拭する。,Xua tan lo lắng.
12,排斥,はいせき,bài trừ,người/ý kiến,外国人を排斥してはならない。,Không được bài trừ người ngoại quốc.
12,破棄,はき,hủy bỏ,hợp đồng/tài liệu,契約を破棄した。,Hủy hợp đồng.
12,喪失,そうしつ,đánh mất,ký ức/năng lực,記憶を喪失した。,Mất trí nhớ.
13,とっさに,とっさに,ngay tức khắc,phản xạ,とっさにブレーキを踏む。,Kịp thời đạp phanh.
13,じきに,じきに,sớm thôi,thời gian gần,じきに雨はやむ。,Chút nữa mưa tạnh.
13,いまに,いまに,rồi sẽ chẳng mấy chốc,dự đoán,いまにわかるよ。,Rồi sẽ hiểu thôi.
13,とっくに,とっくに,đã từ lâu,quá khứ xa,宿題はとっくに終わった。,Bài xong từ lâu rồi.
14,手腕,しゅわん,bản lĩnh tài xoay xở,nhất là lãnh đạo,交渉で手腕を発揮した。,Thể hiện bản lĩnh đàm phán.
14,能力,のうりょく,năng lực,khái quát,語学能力が高い。,Năng lực ngôn ngữ cao.
14,人柄,ひとがら,nhân cách,phẩm chất cá nhân,彼の人柄に惹かれる。,Bị cuốn hút bởi nhân cách.
15,ロス,ロス,thất thoát/lãng phí,khẩu ngữ công sở,時間ロスが多い。,Lãng phí thời gian nhiều.
15,無駄,むだ,lãng phí,đời thường,無駄な出費を減らす。,Giảm chi tiêu lãng phí.
15,損失,そんしつ,tổn thất,kinh tế/tài chính,大きな損失を出した。,Gây tổn thất lớn.
16,おろそか,おろそか,lơi là,không coi trọng,確認をおろそかにするな。,Đừng lơi là việc kiểm tra.
16,いいかげん,いいかげん,cẩu thả,qua loa vô trách nhiệm,いいかげんな返事は困る。,Trả lời cẩu thả là không ổn.
16,なおざり,なおざり,bỏ mặc,để kệ không làm,約束をなおざりにした。,Bỏ bê lời hứa.
17,目下,もっか,trước mắt hiện tại,đang diễn ra,目下の目標は優勝だ。,Mục tiêu trước mắt là vô địch.
17,目先,めさき,trước mắt thiển cận,sắc thái chê,目先の利益にとらわれるな。,Đừng sa lợi trước mắt.
17,将来,しょうらい,tương lai,dài hạn,将来の夢を語る。,Nói về ước mơ tương lai.
18,請け負う,うけおう,nhận thầu,ràng buộc hợp đồng,改修工事を請け負う。,Nhận thầu tu sửa.
18,引き受ける,ひきうける,nhận làm,rộng không nhất thiết thầu,仕事を引き受けます。,Tôi nhận việc.
19,進呈,しんてい,kính tặng,trang trọng cho khách,来場者に記念品を進呈する。,Tặng quà kỷ niệm cho khách.
19,贈呈,ぞうてい,trao tặng,lễ trao công khai,優勝者に賞状を贈呈した。,Trao bằng cho quán quân.
19,寄贈,きぞう,hiến tặng,cho tổ chức/công ích,図書館に本を寄贈する。,Hiến tặng sách cho thư viện.
19,差し上げる,さしあげる,khiêm tặng,kính ngữ của あげる,先生に本を差し上げた。,Con tặng sách cho thầy.
20,加工,かこう,gia công chế biến,biến vật liệu,木材を加工して販売。,Gia công gỗ rồi bán.
20,改造,かいぞう,cải tạo,thay cấu trúc,車を改造する。,Độ xe.
20,改修,かいしゅう,tu sửa,công trình cũ,古い橋を改修する。,Tu sửa cầu cũ.
20,処理,しょり,xử lý,dữ liệu/rác/vấn đề,データを処理する。,Xử lý dữ liệu.
21,養う,やしなう,nuôi; bồi dưỡng,nuôi gia đình/năng lực,三人の子を養っている。,Đang nuôi ba con.
21,飼う,かう,nuôi động vật,thú nuôi/chăn nuôi,犬を飼っている。,Nuôi chó.
21,育てる,そだてる,nuôi dạy/trồng,người/cây,子どもを育てる。,Nuôi dạy con.
22,資質,ししつ,tư chất bẩm sinh,bẩm sinh thiên hướng,選手としての資質。,Tư chất của vận động viên.
22,素質,そしつ,năng khiếu,năng lực tiềm tàng,音楽の素質がある。,Có năng khiếu âm nhạc.
22,性質,せいしつ,tính chất,vật/hiện tượng,水の性質。,Tính chất của nước.
22,資格,しかく,bằng/tư cách,chứng chỉ eligibility,教師の資格を取る。,Lấy bằng giáo viên.
23,正当,せいとう,chính đáng hợp lẽ,正当な権利/評価,正当な理由がある。,Có lý do chính đáng.
23,正統,せいとう,chính thống,dòng dõi/truyền thống,正統な後継者。,Người kế vị chính thống.
23,合法,ごうほう,hợp pháp,theo luật,合法的な手段。,Biện pháp hợp pháp.
23,適正,てきせい,đúng mực/hợp lý,giá/điều kiện,適正価格で売る。,Bán với giá hợp lý.
24,落ち込む,おちこむ,chán nản; suy giảm,tâm trạng/kinh tế,失敗して落ち込む。,Thất bại nên chán nản.
24,紛失,ふんしつ,thất lạc,giấy tờ/đồ,ピアスを紛失した。,Làm mất bông tai.
24,同行,どうこう,tháp tùng đi cùng,đi cùng,取材に同行する。,Đi cùng buổi phỏng vấn.
25,さりげなく,さりげなく,như không tự nhiên,làm khéo léo,さりげなく聞いた。,Hỏi một cách tự nhiên.
25,すごすご,すごすご,tiu nghỉu lủi thủi,về thái độ khi quay về,すごすご家に帰った。,Lủi thủi về nhà.
26,発注,はっちゅう,đặt hàng,doanh nghiệp/mua sỉ,部品を発注する。,Đặt mua linh kiện.
26,注文,ちゅうもん,gọi món/đặt hàng,rộng đời thường,ピザを注文する。,Gọi pizza.
27,迂闊,うかつ,bất cẩn,thiếu để ý,迂闊なミスをした。,Mắc lỗi bất cẩn.
27,不注意,ふちゅうい,thiếu chú ý,trung tính hơn,不注意でけがをした。,Bị thương do bất cẩn.
28,高を括る,たかをくくる,chủ quan coi thường,thành ngữ,相手を高を括っていた。,Chủ quan coi thường đối thủ.
28,油断する,ゆだんする,lơ là chủ quan,đồng nghĩa thường dùng,油断は禁物だ。,Cấm chủ quan.
29,傲慢,ごうまん,ngạo mạn,thái độ kiêu căng,傲慢な態度。,Thái độ kiêu ngạo.
29,高慢,こうまん,cao ngạo,văn viết,高慢の罪。,Tội kiêu ngạo.
30,顧みる,かえりみる,ngoảnh lại; quan tâm,để tâm đến cũng dùng,家族を顧みない。,Không màng gia đình.
30,省みる,かえりみる,tự nhìn lại phản tỉnh,nội tâm tự kiểm,自らを省みる。,Tự nhìn lại bản thân.
31,工合,ぐあい,tình trạng mức độ,cách viết cổ của 具合,体の工合が悪い。,Tình trạng cơ thể không tốt.
31,具合,ぐあい,tình trạng cảm giác,dùng phổ biến,具合はどうですか。,Tình trạng thế nào?
32,撫でる,なでる,vuốt ve,đầu/tóc/vật,子の頭を撫でた。,Vuốt đầu con.
"食品","しょくひん","Thực phẩm",""
"腐敗","ふはい","Thối rữa, phân hủy","Khác với 発酵（はっこう）: 発酵 là lên men, 腐敗 là thối hỏng"
"防止","ぼうし","Ngăn chặn, phòng ngừa",""
"粗い","あらい","Thô, chưa tinh, gồ ghề","Khác với 荒い（あらい）: 荒い là hung dữ/nặng tay, 粗い là thô, không mịn"
"胃","い","Dạ dày",""
"粘膜","ねんまく","Màng nhầy",""
"保護","ほご","Bảo vệ",""
"医学","いがく","Y học",""
"進歩","しんぽ","Tiến bộ",""
"寿命","じゅみょう","Tuổi thọ",""
"延びる","のびる","Kéo dài, tăng lên","Dạng động từ, trong đáp án là dạng danh từ 寿命"
"手紙","てがみ","Thư",""
"内容","ないよう","Nội dung",""
"戒める","いましめる","Răn dạy, cảnh tỉnh",""
"誓約書","せいやくしょ","Bản cam kết, giấy cam kết",""
"署名","しょめい","Ký tên",""
"緊張","きんちょう","Căng thẳng, hồi hộp",""
"遺跡","いせき","Di tích",""
"発見","はっけん","Phát hiện",""
"説","せつ","Giả thuyết, ý kiến",""
"拠点","きょてん","Cứ điểm, căn cứ",""
"根底","こんてい","Căn bản, gốc rễ","Khác với 基礎（きそ）: 根底 là nền tảng sâu xa, 基礎 là nền móng cơ bản"
"原本","げんぽん","Bản gốc",""
"元祖","がんそ","Người sáng lập, nguyên tổ",""
"忙しい","いそがしい","Bận rộn",""
"時期","じき","Thời kỳ",""
"休日","きゅうじつ","Ngày nghỉ",""
"返上","へんじょう","Bỏ, từ bỏ (quyền lợi, ngày nghỉ...)","Khác với 返却（へんきゃく）: 返却 là trả lại đồ vật, 返上 là từ bỏ quyền lợi"
"寄付","きふ","Quyên góp, ủng hộ",""
"還元","かんげん","Hoàn trả, hoàn lại",""
"進呈","しんてい","Biếu, tặng",""
"外部","がいぶ","Bên ngoài",""
"問い合わせ","といあわせ","Yêu cầu, hỏi thông tin",""
"用件","ようけん","Việc, nội dung cần làm",""
"担当者","たんとうしゃ","Người phụ trách",""
"引き渡す","ひきわたす","Bàn giao, chuyển giao",""
"取り次ぐ","とりつぐ","Chuyển lời, chuyển giao (thông tin)","Khác với 引き渡す: 取り次ぐ là chuyển giao thông tin, 引き渡す là bàn giao vật, người"
"交錯","こうさく","Đan xen, trộn lẫn","Khác với 混合（こんごう）: 交錯 là cảm xúc/ý tưởng đan xen, 混合 là trộn vật chất"
"混合","こんごう","Trộn lẫn, pha trộn",""
"連動","れんどう","Liên kết, vận hành cùng nhau",""
"反発","はんぱつ","Phản kháng, phản đối",""
"工事","こうじ","Công trình, xây dựng",""
"地盤","じばん","Nền đất, địa tầng",""
"箇所","かしょ","Chỗ, địa điểm",""
"難航","なんこう","Gặp khó khăn, trì trệ","Khác với 低迷（ていめい）: 難航 là tiến triển khó khăn, 低迷 là tình trạng trì trệ, không tiến triển"
"低迷","ていめい","Trì trệ, sa sút",""
"衰退","すいたい","Suy thoái, tàn lụi",""
"脱落","だつらく","Bỏ cuộc, rớt lại, rời nhóm",""
"会場","かいじょう","Hội trường, địa điểm tổ chức",""
"話し声","はなしごえ","Giọng nói chuyện",""
"がやがや","がやがや","Ồn ào, náo nhiệt (từ tượng thanh)",""
"骨折り","ほねおり","Lao lực, khó nhọc",""
"足手まとい","あしでまとい","Gánh nặng, vướng víu",""
"裏目","うらめ","Kết quả trái ngược mong muốn",""
"および腰","およびごし","Do dự, không quyết đoán",""
"委託","いたく","Ủy thác, giao phó","Khác với 任せる（まかせる）: 委託 là giao cho tổ chức/cá nhân làm thay, 任せる là giao phó nói chung"
"戻す","もどす","Trả lại, quay lại",""
"送る","おくる","Gửi đi",""
"任せる","まかせる","Giao phó",""
"譲る","ゆずる","Nhường, chuyển nhượng",""
"すがすがしい","すがすがしい","Sảng khoái, dễ chịu","Khác với 爽やか（さわやか）: Ý nghĩa gần giống, nhưng 爽やか thường dùng cho tính cách/tính chất, すがすがしい chủ yếu cho cảm giác"
"爽やか","さわやか","Sảng khoái, tươi mát",""
"楽しい","たのしい","Vui vẻ",""
"懐かしい","なつかしい","Nhớ nhung, hoài niệm",""
"工面","くめん","Xoay sở, chuẩn bị (tiền bạc, nguồn lực)","Khác với 用意する（よういする）: 工面 là xoay sở khó khăn, 用意する là chuẩn bị thông thường"
"雑な","ざつな","Qua loa, cẩu thả","Khác với ぞんざい（ぞんざい）: ぞんざい là thô lỗ, bất lịch sự (thái độ), 雑な là cẩu thả (cách làm việc)"
"変な","へんな","Kỳ lạ, kỳ quặc",""
"危険な","きけんな","Nguy hiểm",""
"強引な","ごういんな","Cưỡng ép, áp đặt",""
"うなだれる","うなだれる","Cúi đầu, thất vọng",""
"アクシデント","アクシデント","Sự cố, tai nạn",""
"タブー","タブー","Điều cấm kỵ",""
"プレッシャー","プレッシャー","Áp lực",""
